id;lugar;frecuencia;agradable;3 La iluminacion le permite:;4 La calidad de la iluminacion;5 Identificar�a situaci�n de peligro?;6 Las caracteristicas de la zona:;7a Ser Vista;7b Ser Escuchada;8 Cantidad de personas le generan:;9 Zona segura si hay presencia de:;10 Los andenes le permiten:;11 Calidad de andenes le genera:;12 Medio de transporte que utiliza;13 Que sensaci�n experimenta en TP?;14 Tiempo entre paradero y su casa;15a Demasiadas personas dentro del TP;15b Muy pocas personas dentro del TP;15c Ventas informales en el TP;15d Caminata hacia el paradero;15e Condiciones de espera del TP;15f Alg�n desconocido quiere hablar;15g Viajar sola, sin compa��a;15h Viajar con ni�@ o ancian@;15i Viajar de noche;16 Hora que considera insegura;16a Hora militar;17a Primera Opci�n;17b Segunda Opci�n;17c Tercera Opci�n;18b Hombres;18a Mujeres;18c Ni�as y Ni�os;Personas;D1 Edad;D2 Actividad Principal;D3 Escolaridad;D4 Autoreconocimineto;D5 Discapacidad;D6 Identidad de g�nero;D7 Orientaci�n sexual;D8 Localidad;D9 Estrato
30;156;1;2;2;3;3;1;1;1;2;4;3;88;1;2;2;1;1;2;1;1;1;1;2;2;1;18:00;3;99;99;99;99;99;99;17;3;7;7;8;2;1;11;2
31;156;1;2;1;7;3;5;2;2;5;3;1;7;1;11;2;1;2;2;2;1;1;2;1;1;1;22:00;10;99;99;1;1;2;3;27;3;7;7;8;2;1;11;4
32;156;1;3;2;6;2;4;1;2;7;3;2;7;1;2;3;1;1;1;1;2;1;1;1;1;1;21:00;3;99;99;1;1;2;3;50;1;3;7;7;2;1;20;2
33;156;1;3;2;6;3;1;2;2;1;3;2;1;1;5;3;1;2;2;1;1;1;2;1;1;1;20:00;5;6;99;1;1;2;3;20;3;6;7;8;2;1;11;2
34;156;1;3;2;2;2;1;2;1;1;3;2;2;4;3;2;2;1;2;1;1;1;1;1;1;1;18:00;10;99;99;1;1;2;3;30;1;6;6;8;2;1;18;3
35;156;1;3;2;3;2;3;2;2;2;3;1;2;4;2;1;1;2;1;1;1;1;1;1;1;1;21:00;10;99;99;1;1;2;3;22;3;6;6;8;2;1;8;2
36;156;2;3;2;5;2;5;1;2;4;3;2;2;1;2;2;1;1;1;1;1;1;1;1;1;1;21:00;5;6;10;1;1;2;3;39;1;6;7;8;2;1;12;3
37;156;3;4;1;4;2;6;2;2;5;3;1;4;1;11;1;2;1;2;2;1;1;1;1;1;1;23:00;6;99;99;2;1;2;3;22;2;6;7;8;2;1;10;2
38;156;2;3;2;4;3;3;2;2;2;3;1;6;1;2;3;1;1;2;1;1;1;2;1;1;1;18:00;6;99;99;1;1;2;3;20;3;7;6;8;2;1;2;4
39;156;1;1;2;1;3;2;1;2;6;3;2;2;1;11;1;2;1;1;2;2;1;2;2;1;1;20:00;10;99;99;2;1;3;2;27;1;8;6;8;2;2;2;4
40;156;1;3;2;6;2;4;1;1;7;4;2;7;4;12;1;1;1;1;1;1;1;1;2;1;1;19:00;5;10;99;1;1;2;3;21;2;7;6;8;2;1;10;3
41;156;1;2;1;6;3;6;2;1;7;3;1;7;1;3;4;1;2;2;2;2;1;2;1;1;1;21:00;3;99;99;1;1;2;3;19;1;5;6;8;2;1;10;2
42;156;1;2;4;2;4;2;2;1;2;3;3;88;1;2;5;1;1;2;1;1;1;2;1;2;1;21:00;4;99;99;2;1;2;3;37;1;99;1;8;2;1;1;3
43;156;2;3;1;5;3;6;1;2;6;1;1;7;1;3;3;2;1;2;1;1;2;1;1;1;1;19:00;3;99;99;2;1;2;3;20;2;5;7;8;2;1;2;2
44;156;1;2;2;2;3;2;2;2;7;3;1;4;1;4;4;1;2;2;1;1;1;1;2;1;1;19:00;6;99;99;1;1;2;3;26;1;5;6;8;2;1;11;3
45;156;1;2;1;6;3;6;1;1;7;3;1;8;1;2;5;1;2;1;2;1;2;2;1;1;1;20:00;1;99;99;1;1;1;3;33;2;9;7;8;2;1;5;2
46;156;1;3;1;2;3;6;99;99;2;3;1;4;1;11;3;1;2;1;1;1;1;2;2;1;3;88;3;99;99;1;1;2;3;16;2;5;7;8;2;2;10;2
47;156;1;1;1;1;3;1;1;1;1;3;1;7;1;2;4;1;1;1;2;1;1;2;2;1;1;21:00;4;99;99;1;1;2;3;36;1;5;7;8;2;1;19;2
48;156;1;2;2;6;2;1;1;1;7;3;1;2;1;11;4;1;2;1;2;2;1;2;2;2;1;22:00;3;99;99;1;1;1;3;23;1;6;7;8;2;1;1;2
49;156;3;2;2;4;3;3;1;1;4;3;3;88;1;3;1;1;1;2;1;1;1;1;1;1;1;18:30;5;99;99;1;1;2;3;46;1;6;6;8;2;1;13;4
50;156;1;3;2;4;3;6;1;2;2;3;1;5;1;2;3;1;1;2;1;2;1;2;2;1;1;21:00;6;99;99;1;2;3;1;21;3;7;5;8;2;1;10;3
51;156;1;2;2;6;2;2;2;1;3;3;1;2;5;1;3;1;1;1;2;2;1;2;2;1;1;19:00;1;4;5;1;1;3;2;22;2;5;6;8;2;1;11;4
52;156;1;2;2;2;2;2;1;1;2;3;1;8;1;2;4;2;1;1;1;1;1;99;1;1;1;21:00;8;9;99;1;1;1;3;29;2;9;6;8;2;1;11;3
53;156;1;2;2;3;2;2;1;2;2;1;2;3;1;3;4;1;1;2;1;1;1;1;1;1;1;21:00;4;99;99;1;2;2;2;39;1;8;6;8;2;1;10;3
54;156;3;3;2;3;3;5;2;2;6;3;1;6;1;2;4;2;1;1;1;1;1;1;2;1;3;88;6;99;99;1;2;2;2;54;1;5;6;8;2;1;10;3
55;156;1;3;1;1;2;1;1;1;2;1;1;7;1;2;2;1;1;1;2;2;1;2;1;2;1;17:00;4;99;99;1;1;2;3;26;1;8;6;8;2;1;15;3
56;156;1;2;1;6;2;1;1;1;1;3;1;3;1;2;2;1;1;1;1;2;1;1;1;1;1;20:00;3;99;99;1;1;2;3;55;1;8;6;8;2;1;6;2
57;156;1;3;1;4;3;5;2;1;5;3;1;6;1;12;4;1;1;1;1;1;1;1;1;1;1;19:30;4;99;99;2;1;2;3;32;3;8;7;8;2;1;16;3
58;156;3;2;2;2;2;4;2;1;1;2;2;7;1;2;2;2;1;1;1;2;1;1;1;1;1;22:00;3;99;99;1;1;2;3;20;1;5;6;8;2;1;19;2
59;156;1;1;2;4;2;1;2;1;1;3;1;2;1;2;4;2;1;1;2;1;1;2;2;1;1;18:00;4;99;99;1;1;2;3;23;2;7;7;8;2;1;11;3
60;156;2;3;2;4;2;1;1;1;2;1;1;7;4;11;3;1;1;2;1;1;1;1;1;1;1;18:00;4;6;99;1;2;2;2;23;2;7;6;8;2;1;9;4
61;156;1;1;2;2;2;2;1;1;2;3;2;2;1;4;2;1;1;2;1;2;1;1;1;1;1;19:00;4;99;99;1;1;2;3;38;1;8;6;8;2;1;1;4
62;156;1;2;2;1;4;2;1;1;1;3;1;7;1;12;2;1;1;1;1;2;1;2;2;2;1;22:00;2;3;4;1;1;2;3;40;1;8;6;8;2;1;9;3
63;156;1;2;2;6;4;2;1;1;2;3;1;6;1;2;1;2;1;1;1;1;1;2;1;1;1;22:00;2;3;4;1;2;2;2;42;4;8;7;8;2;1;19;3
64;156;1;2;1;1;3;1;1;99;1;3;2;2;1;2;2;1;2;1;2;2;1;1;2;1;3;88;5;99;99;1;1;3;2;21;3;7;7;8;2;1;4;3
65;156;1;3;1;4;4;1;2;2;5;3;1;4;9;3;1;1;1;1;1;1;2;1;1;1;1;18:00;1;99;99;1;2;2;2;30;3;7;7;8;2;1;11;3
66;156;1;3;1;4;2;5;2;2;5;3;1;8;5;1;2;2;1;1;1;2;1;2;2;1;3;88;1;99;99;1;1;1;3;23;1;9;7;8;2;1;11;3
67;156;1;2;1;5;3;5;2;2;2;3;1;2;1;11;5;1;2;2;1;1;1;1;1;1;1;18:00;5;99;99;1;2;2;2;18;3;5;5;8;2;1;19;1
